primary_label,auc_all,positive_rows_all,negative_rows_all,scored,mean_prob_all,auc_soundscape,positive_rows_soundscape,negative_rows_soundscape,mean_prob_soundscape,scored_soundscape,scientific_name,class_name,is_texture_taxon,auc_gap_sound_minus_all
47158son24,0.9615325978489855,2,36076,True,1.812858499761205e-05,0.5649905123339659,2,527,0.00021807820303365588,True,Insect son24,Insecta,True,-0.39654208551501957
47158son25,0.9920414896018567,7,36071,True,8.653650002088398e-05,0.8564586754241926,7,522,0.002843246329575777,True,Insect son25,Insecta,True,-0.13558281417766405
476521,0.9918133518133517,3,36075,True,5.945671000517905e-05,,0,529,5.6735701946308836e-05,False,Physalaemus nattereri,Amphibia,True,
516975,0.8854449681175492,8,36070,True,0.00011598352284636348,0.9438970990695128,7,522,0.002027296693995595,True,Sapajus cay,Mammalia,False,0.058452130951963555
517063,0.9946148981134404,63,36015,True,0.0010781188029795885,0.688006676204101,63,466,0.06159142404794693,True,Pithecopus azureus,Amphibia,True,-0.30660822190933934
555123,0.9178747978747979,3,36075,True,6.136574666015804e-05,,0,529,0.00013001193292438984,False,Boana lundii,Amphibia,True,
555145,0.9958690288058998,9,36069,True,0.00026830536080524325,,0,529,0.00036120752338320017,False,Boana punctata,Amphibia,True,
555146,0.9799041886390971,48,36030,True,0.000797618122305721,0.7137274549098197,30,499,0.029866963624954224,True,Boana raniceps,Amphibia,True,-0.2661767337292774
64898,0.9997505197505197,3,36075,True,3.919637674698606e-05,,0,529,1.5572350093862042e-05,False,Ameerega picta,Amphibia,True,
65377,0.9491897968246918,50,36028,True,0.0011198197025805712,0.22547619047619047,4,525,0.002001645043492317,True,Dendropsophus minutus,Amphibia,True,-0.7237136063485013
65380,0.9937443967396222,54,36024,True,0.0013933281879872084,0.7618862546962041,31,498,0.051945123821496964,True,Dendropsophus nanus,Amphibia,True,-0.23185814204341815
66971,0.992338918479065,30,36048,True,0.0005489304894581437,0.8276984126984126,25,504,0.028388595208525658,True,Pseudis platensis,Amphibia,True,-0.16464050578065237
67107,0.9866775357929475,19,36059,True,0.0004669769841711968,0.9454459203036053,2,527,0.0005705628427676857,True,Rhinella diptycha,Amphibia,True,-0.04123161548934218
67252,0.9274308209602491,7,36071,True,0.00014073656348045915,0.5880681818181818,1,528,0.0004262381116859615,True,Trachycephalus typhonius,Amphibia,True,-0.3393626391420673
70711,0.9300781683113426,2,36076,True,2.8151427613920532e-05,,0,529,6.352702621370554e-05,False,Leptodactylus macrosternum,Amphibia,True,
738183,0.9990851883680314,5,36073,True,5.8693462051451206e-05,,0,529,2.0321551346569322e-05,False,Plecturocebus pallescens,Mammalia,False,
74113,0.9413690641231816,12,36066,True,0.00022167011047713459,0.40227703984819735,2,527,0.0006191068678162992,True,Bos taurus,Mammalia,False,-0.5390920242749841
74580,0.9308292908292908,3,36075,True,3.5623212170321494e-05,,0,529,2.0486195353441872e-05,False,Mico melanurus,Mammalia,False,
760266,0.9948355822049371,7,36071,True,0.0001828432286856696,,0,529,4.632979471352883e-05,False,Prionacris erosa,Insecta,True,
ashgre1,0.9421513638568011,140,35938,True,0.00414693308994174,,0,529,0.00040401017758995295,False,Hylophilus pectoralis,Aves,False,
astcra1,0.9651280484554701,142,35936,True,0.003446295391768217,,0,529,0.003008621744811535,False,Mustelirallus albicollis,Aves,False,
bafcur1,0.9331740075154005,55,36023,True,0.0011829378781840205,0.6413662239089184,2,527,0.0022957080509513617,True,Crax fasciolata,Aves,False,-0.2918077836064821
baffal1,0.987702623004044,342,35736,True,0.010330066084861755,,0,529,0.003660389455035329,False,Micrastur ruficollis,Aves,False,
banana,0.9449627166302764,616,35462,True,0.020991286262869835,,0,529,0.0018804667051881552,False,Coereba flaveola,Aves,False,
barant1,0.9360245184336041,550,35528,True,0.014411436393857002,,0,529,0.0024505117908120155,False,Thamnophilus doliatus,Aves,False,
batbel1,0.9599975945482311,304,35774,True,0.009561127051711082,,0,529,0.0021704775281250477,False,Procnias nudicollis,Aves,False,
baymac,0.9497045496443922,230,35848,True,0.007037830539047718,,0,529,0.00439677806571126,False,Ara ararauna,Aves,False,
bbwduc,0.9748021430203628,505,35573,True,0.01260111853480339,,0,529,0.002245142124593258,False,Dendrocygna autumnalis,Aves,False,
bcwfin2,0.9412603206338628,66,36012,True,0.0017998784314841032,,0,529,0.00016527337720617652,False,Microspingus melanoleucus,Aves,False,
bkcdon,0.9542709501649327,216,35862,True,0.004865539725869894,,0,529,0.0011360557982698083,False,Donacobius atricapilla,Aves,False,
bkhpar,0.9748600224653023,113,35965,True,0.0029218171257525682,,0,529,0.00032674032263457775,False,Aratinga nenday,Aves,False,
blchaw1,0.986338189684258,59,36019,True,0.0011297172168269753,,0,529,0.00017341489729005843,False,Busarellus nigricollis,Aves,False,
blheag1,0.9817004555071078,169,35909,True,0.004724892321974039,,0,529,0.001011085812933743,False,Spizaetus tyrannus,Aves,False,
blttit1,0.9624519425574454,73,36005,True,0.0011524674482643604,,0,529,0.0005815851618535817,False,Tityra cayana,Aves,False,
bncfly,0.9505211645941203,571,35507,True,0.018209407106041908,,0,529,0.005453451536595821,False,Myiarchus tyrannulus,Aves,False,
bobfly1,0.9408767659411988,576,35502,True,0.018696868792176247,,0,529,0.008676817640662193,False,Megarynchus pitangua,Aves,False,
brcmar1,0.930990063261146,148,35930,True,0.0033342603128403425,,0,529,0.000532589852809906,False,Progne tapera,Aves,False,
brnowl,0.9853242678369709,474,35604,True,0.016372231766581535,,0,529,0.004060668870806694,False,Tyto furcata,Aves,False,
bucmot4,0.9585446390165266,222,35856,True,0.008168322034180164,,0,529,0.0031767752952873707,False,Momotus momota,Aves,False,
bucpar,0.9727895548963396,134,35944,True,0.005588079337030649,,0,529,0.0009274579933844507,False,Thectocercus acuticaudatus,Aves,False,
bufpar,0.9324915322997839,246,35832,True,0.006271383259445429,0.9886148007590132,2,527,0.005349503830075264,True,Amazona aestiva,Aves,False,0.056123268459229325
